Month,UPI_Volume_inlakhs,UPI_Value_inCr,Credit_Volume_inlakhs,Credit_Value_inCr,Debit_Volume_inlakhs,Debit_Value_inCr,ATM_Debit_Volume_inlakhs,ATM_Debit_Value_inCr
2019-11-01,12187.70742,189229.0891084,1762.12447,60130.24837699,4180.83816511,58208.68566903,6236.8864568,281337.84982053
2019-12-01,13084.01713,202520.7585663,2036.63822,65735.760462,4448.7488,62752.44962681,6453.49566,289534.90439085
2020-01-01,13050.19232,216242.974143,2017.27299,66572.86103046,4500.84588,62871.18627824,6495.686,294174.32186872
2020-02-01,13256.93237,222516.95003,1882.94,62147.0,4245.74409,58560.85213342,6148.832,281926.94376221
2020-03-01,12468.4455,206462.3070262,1638.57148,50574.15084107,3608.1258,48208.95079193,5409.61045,247428.94623539
2020-04-01,9995.74376,151140.6642718,768.53233,20764.7694992,2053.66204,23250.48256785,2935.25792,128559.71099565
2020-05-01,12344.97198,218391.5954934,1028.86387,32225.02203987,2658.81667,37983.79281136,4058.60492,195283.41892918
2020-06-01,13369.30941,261835.0009801,1248.54866,42772.82635118,3002.33734,47711.04166959,4695.02654,228733.4945002
2020-07-01,14973.54,290537.86,1319.66372,45558.01705071,3161.93045,50324.95929037,4661.48431,231210.40856447
2020-08-01,16188.28462,298307.60926612,1425.10546,50311.00028764,3389.42109,54770.06691859,4834.49647,235549.49433045
2020-09-01,18001.67,329031.84,1486.70569,51133.75013293,3507.81077,55366.35376428,5038.61002,240204.74868312
2020-10-01,20716.19,386106.7351691,1718.03116,64651.53130129,3932.66485,69140.96481503,5626.50469,267747.22196473
2020-11-01,22102.28383,390999.18529922,1662.57534,62349.76143805,3765.74526,67888.78782897,5853.65701,276796.54801592
2020-12-01,22341.58091,416176.22447486,1737.79292,63486.52313925,3765.08868,65178.31742936,5646.76993,265569.01784462
2021-01-01,23027.28,431181.9,1744.2,64737.09,3699.54322,63157.13396262,5700.50385,266315.16164244
